tablename,position,columnname,datatype,nullable,keytype,referencestable
data_asset,14,status,character varying(20),YES,,
dataset,1,datasetid,character varying(10),NO,PK,
dataset,2,datasetname,character varying(200),NO,,
dataset,3,sourceorganization,character varying(200),NO,,
dataset,4,sourceurl,character varying(500),YES,,
dataset,5,dataclassification,character varying(50),YES,,
dataset,6,geographiclevel,character varying(50),YES,,
dataset,7,timeperiod,character varying(50),YES,,
dataset,8,updatefrequency,character varying(50),YES,,
dataset,9,licensetext,character varying(200),YES,,
dataset,10,storagezone,character varying(100),YES,,
dataset,11,ingestiondate,date,YES,,
dataset,12,status,character varying(20),YES,,
geographic_area,1,geographyid,integer,NO,PK,
geographic_area,2,parentgeographyid,integer,YES,FK,geographic_area
geographic_area,3,geographytype,character varying(20),NO,,
geographic_area,4,geographyname,character varying(150),NO,,
geographic_area,5,statecode,character varying(2),YES,,
geographic_area,6,countyfips,character varying(5),YES,,
geographic_area,7,zcta,character varying(5),YES,,
geographic_area,8,countrycode,character varying(2),YES,,
health_indicator,1,indicatorid,integer,NO,PK,
health_indicator,2,indicatorcode,character varying(30),NO,,
health_indicator,3,indicatorname,character varying(300),NO,,
health_indicator,4,diseasecategory,character varying(100),YES,,
health_indicator,5,factorcategory,character varying(100),YES,,
health_indicator,6,unit,character varying(30),YES,,
health_indicator,7,description,character varying(500),YES,,
health_observation,1,observationid,integer,NO,PK,
health_observation,2,datasetid,character varying(10),NO,FK,dataset
health_observation,3,geographyid,integer,NO,FK,geographic_area
health_observation,4,indicatorid,integer,NO,FK,health_indicator
health_observation,5,observationyear,integer,YES,,
health_observation,6,populationgroup,character varying(50),YES,,
health_observation,7,stratificationtype,character varying(50),YES,,
health_observation,8,stratificationvalue,character varying(50),YES,,
health_observation,9,measurevalue,"numeric(12,4)",YES,,
health_observation,10,lowerconfidencelimit,"numeric(12,4)",YES,,
health_observation,11,upperconfidencelimit,"numeric(12,4)",YES,,
health_observation,12,notes,character varying(200),YES,,
manager_contract,1,managercontractid,integer,NO,PK,
manager_contract,2,associateid,integer,NO,FK,associate
manager_contract,3,writingnumber,character varying(30),NO,,
manager_contract,4,sitcode,character varying(30),NO,,
manager_contract,5,primarysitcodeflag,character varying(1),YES,,
manager_contract,6,commissionchaincode,character varying(30),YES,,
manager_contract,7,productioncreditregion,character varying(30),YES,,
manager_contract,8,issuedate,date,YES,,
manager_contract,9,status,character varying(20),NO,,
